Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized VWS (7 Days),Daily Return,Rolling Avg (7 Days),Volatility (7 Days),Momentum (7 Days),EWMA Volatility,Volatility Class,Interest_Rate,Inflation,GDP,Unemployment,Industrial Production,Stock Market Performance
2024-08-01,ACMR,Technology,Semiconductor Equipment & Materials,1.148B,17.950000762939453,17.950000762939453,15.869999885559082,16.270000457763672,16.270000457763672,2218500,1.0,0.9999986886978148,1.0,1.0,2218500.0,1.0,0.0,16.270000457763672,16.270000457763672,16.270000457763672,0.078739401201328,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577
2024-08-02,ACMR,Technology,Semiconductor Equipment & Materials,1.148B,15.550000190734863,16.020000457763672,15.0,15.640000343322754,15.640000343322754,2476600,-1.0,0.9934784471988678,2.0,-0.5,-2476600.0,-1.1163398692810458,-0.0387215793924761,15.955000400543211,0.445477353069474,15.640000343322754,0.0273802913666731,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577
2024-08-05,ACMR,Technology,Semiconductor Equipment & Materials,1.148B,14.029999732971191,15.5,13.9399995803833,15.010000228881836,15.010000228881836,1546800,0.0,0.9008961021900176,2.0,0.0,0.0,0.0,-0.0402813363562287,15.640000343322754,0.630000114440918,15.010000228881836,0.0256807361524929,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577
2024-08-06,ACMR,Technology,Semiconductor Equipment & Materials,1.148B,15.329999923706056,15.380000114440918,14.630000114440918,15.125,15.125,1997600,0.0,0.0,0.0,0.0,0.0,0.0,0.0076615435952416,15.511250257492064,0.5752446736268129,15.125,0.0240322021960536,Low,5.33,314.121,23386.248,4.2,103.0449,5478.214577
2024-08-07,ACMR,Technology,Semiconductor Equipment & Materials,1.148B,18.15999984741211,18.530000686645508,16.5,17.59000015258789,17.59000015258789,4659800,-1.0,0.9372148624172916,27.0,-0.037037037037037,-4659800.0,-2.100428217263917,0.1629752167000258,15.92700023651123,1.0547132554273673,17.59000015258789,0.0880922442109568,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577
2024-08-08,ACMR,Technology,Semiconductor Equipment & Materials,1.148B,18.049999237060547,19.700000762939453,18.049999237060547,19.489999771118164,19.489999771118164,2557100,3.0,0.9423089226086936,12.0,0.25,7671300.0,1.0,0.1080158955115608,16.520833492279053,1.7337138330399935,19.489999771118164,0.0829115905792013,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577
2024-08-09,ACMR,Technology,Semiconductor Equipment & Materials,1.148B,19.209999084472656,19.63400077819824,18.59000015258789,19.100000381469727,19.100000381469727,1646900,0.0,0.9924702644348145,2.0,0.0,0.0,0.0,-0.0200102305915041,16.88928590502058,1.8587908190309848,19.100000381469727,0.0785762929804363,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577
2024-08-12,ACMR,Technology,Semiconductor Equipment & Materials,1.148B,19.09000015258789,19.219999313354492,18.31999969482422,18.88999938964844,18.88999938964844,1158400,0.0,0.9372317989667256,3.0,0.0,0.0,0.0,-0.0109948161061307,17.2635714667184,1.9735472321010656,2.619998931884769,0.0707540873315042,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577
2024-08-13,ACMR,Technology,Semiconductor Equipment & Materials,1.148B,19.1299991607666,19.43000030517578,18.86000061035156,19.3799991607666,19.3799991607666,797200,1.0,0.8560890555381775,1.0,1.0,797200.0,0.1039198049874206,0.0259396393303579,17.79785701206752,1.9669938039060844,3.739998817443848,0.0610561578368754,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577
2024-08-14,ACMR,Technology,Semiconductor Equipment & Materials,1.148B,19.479999542236328,20.209999084472656,19.11000061035156,19.68000030517578,19.68000030517578,1283400,-1.0,0.9522561073303224,5.0,-0.2,-1283400.0,-0.1672988932775409,0.0154799358823767,18.464999880109513,1.6263019622860344,4.670000076293945,0.0528856229813356,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577
2024-08-15,ACMR,Technology,Semiconductor Equipment & Materials,1.148B,19.829999923706055,20.38999938964844,19.614999771118164,20.309999465942383,20.309999465942383,1226800,-1.0,0.9593796730041504,2.0,-0.5,-1226800.0,-0.1599207435506368,0.0320121519815685,19.205714089529856,0.8442916091359164,5.184999465942383,0.0460171231144019,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577
2024-08-16,ACMR,Technology,Semiconductor Equipment & Materials,1.148B,20.040000915527344,20.489999771118164,19.86000061035156,20.020000457763672,20.020000457763672,986700,0.0,0.0,0.0,0.0,0.0,0.0,-0.0142786319943044,19.55285699026925,0.4976517082375386,2.4300003051757812,0.0436683343537068,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577
