Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized Sentiment
2024-08-01,AAOI,Technology,Communication Equipment,1.208B,9.609999656677246,9.979999542236328,8.305000305175781,8.399999618530273,8.399999618530273,3055800,2.0,0.924919279722067,13.0,0.1538461538461538,6111600.0,1.0
2024-08-02,AAOI,Technology,Communication Equipment,1.208B,7.940000057220459,7.980000019073486,7.5,7.650000095367432,7.650000095367432,3095200,-2.0,0.9163694977760316,7.0,-0.2857142857142857,-6190400.0,-1.0128935139734276
2024-08-05,AAOI,Technology,Communication Equipment,1.208B,6.889999866485596,7.320000171661377,6.699999809265137,6.96999979019165,6.96999979019165,1953700,0.0,0.9614291257328458,9.0,0.0,0.0,0.0
2024-08-06,AAOI,Technology,Communication Equipment,1.208B,7.170000076293945,7.739999771118164,6.800000190734863,7.289999961853027,7.289999961853027,3421600,-2.0,0.9772419035434724,22.0,-0.0909090909090909,-6843200.0,-1.119706787093396
2024-08-07,AAOI,Technology,Communication Equipment,1.208B,8.300000190734863,8.6899995803833,6.860000133514404,6.869999885559082,6.869999885559082,4188400,1.0,0.9271143839277072,29.0,0.0344827586206896,4188400.0,0.6853197198769553
2024-08-08,AAOI,Technology,Communication Equipment,1.208B,7.050000190734863,8.569999694824219,7.039999961853027,8.569999694824219,8.569999694824219,2652600,1.0,0.954344387849172,15.0,0.0666666666666666,2652600.0,0.434027096014137
2024-08-09,AAOI,Technology,Communication Equipment,1.208B,8.600000381469727,8.640000343322754,7.599999904632568,7.739999771118164,7.739999771118164,2343500,2.0,0.9159348319316732,29.0,0.0689655172413793,4687000.0,0.7669022841809019
2024-08-12,AAOI,Technology,Communication Equipment,1.208B,7.78000020980835,8.15999984741211,7.670000076293945,7.849999904632568,7.849999904632568,1350600,1.0,0.9202881726351652,11.0,0.0909090909090909,1350600.0,0.2881587369319394
2024-08-13,AAOI,Technology,Communication Equipment,1.208B,8.050000190734863,8.149999618530273,7.885000228881836,8.020000457763672,8.020000457763672,1334200,1.0,0.9681876003742218,8.0,0.125,1334200.0,0.28465969703435035
2024-08-14,AAOI,Technology,Communication Equipment,1.208B,8.109999656677246,8.1899995803833,7.71999979019165,8.140000343322754,8.140000343322754,1546300,0.0,0.9277923554182052,4.0,0.0,0.0,0.0
