Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized VWS (7 Days),Daily Return,Rolling Avg (7 Days),Volatility (7 Days),Momentum (7 Days),EWMA Volatility,Volatility Class,Interest_Rate,Inflation,GDP,Unemployment,Industrial Production,Stock Market Performance,VIX OPEN,VIX HIGH,VIX LOW,VIX CLOSE,Event_Flag
2024-08-01,FOUR,,Software Infrastructure,8.741B,68.0,68.77999877929688,64.05000305175781,65.0199966430664,65.0199966430664,1348200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0199966430664,65.0199966430664,65.0199966430664,0.0480711463729701,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.2,19.48,15.95,18.59,0
2024-08-02,FOUR,,Software Infrastructure,8.741B,63.0,63.04999923706055,61.18000030517578,62.709999084472656,62.709999084472656,1745000,-14.0,0.9445072963076124,118.0,-0.1186440677966101,-24430000.0,-24430000.0,-0.035527494276487,63.86499786376953,1.6334149382060097,62.709999084472656,0.0251217321214702,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.52,29.66,20.01,23.39,0
2024-08-05,FOUR,,Software Infrastructure,8.741B,57.90999984741211,62.0,57.45000076293945,61.2599983215332,61.2599983215332,1578100,-2.0,0.9517511417788844,31.0,-0.064516129032258,-3156200.0,-3156200.0,-0.0231223215453447,62.996664683024086,1.896320046439356,61.2599983215332,0.0191786756225794,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,23.39,65.73,23.39,38.57,0
2024-08-06,FOUR,,Software Infrastructure,8.741B,61.810001373291016,63.20000076293945,61.09000015258789,62.5099983215332,62.5099983215332,1025800,13.0,0.9469257833549328,181.0,0.0718232044198895,13335400.0,1.0,0.0204048324232588,62.87499809265137,1.567343032822384,62.5099983215332,0.0227271349731215,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,33.71,34.77,24.02,27.71,0
2024-08-07,FOUR,,Software Infrastructure,8.741B,64.0,65.63999938964844,63.40999984741211,63.529998779296875,63.529998779296875,2451100,5.0,0.9655865376590465,1467.0,0.0034083162917518,12255500.0,0.9190200518919568,0.0163173969789134,63.00599822998047,1.3886066098085046,63.529998779296875,0.021365961733549,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,24.77,29.76,21.97,27.85,0
2024-08-08,FOUR,,Software Infrastructure,8.741B,67.7699966430664,72.12999725341797,67.08999633789062,70.69999694824219,70.69999694824219,5625500,1.0,0.9947789907455444,2.0,0.5,5625500.0,0.4218471136973769,0.1128600394571686,64.28833134969075,3.377699221789678,70.69999694824219,0.0568490428066686,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,28.34,29.47,23.36,23.79,0
2024-08-09,FOUR,,Software Infrastructure,8.741B,71.12999725341797,72.22000122070312,68.91999816894531,71.37999725341797,71.37999725341797,2152400,2.0,0.9118368715832108,76.0,0.0263157894736842,4304800.0,0.3228099644555094,0.0096181093992633,65.30142647879464,4.085573261901403,71.37999725341797,0.0494584259967206,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,23.78,24.52,20.26,20.37,0
2024-08-12,FOUR,,Software Infrastructure,8.741B,71.5199966430664,73.5,70.72000122070312,72.97000122070312,72.97000122070312,2169900,0.0,0.0,0.0,0.0,0.0,0.0,0.0222752035369266,66.43714141845703,4.997505212949996,7.950004577636719,0.042537490515611,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.79,21.19,18.89,20.71,0
2024-08-13,FOUR,,Software Infrastructure,8.741B,73.88999938964844,77.69999694824219,73.2699966430664,76.02999877929688,76.02999877929688,2557300,1.0,0.9554113447666168,2.0,0.5,2557300.0,0.1917677759947208,0.0419350076388043,68.33999851771763,5.8114200288020506,13.31999969482422,0.0376890872094884,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.06,20.79,17.95,18.12,0
2024-08-14,FOUR,,Software Infrastructure,8.741B,76.79000091552734,81.30000305175781,76.51000213623047,80.16999816894531,80.16999816894531,5136500,-8.0,0.9529040083289146,80.0,-0.1,-41092000.0,-3.0814223795311726,0.0544521827715163,71.04142706734794,6.342634731399633,18.90999984741211,0.0348170999582822,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,18.41,18.49,16.12,16.19,0
2024-08-15,FOUR,,Software Infrastructure,8.741B,81.52999877929688,83.63999938964844,80.93499755859375,81.87000274658203,81.87000274658203,2700000,-8.0,0.9502240865368824,707.0,-0.0113154172560113,-21600000.0,-1.762473991269226,0.0212049970869929,73.80714198521206,6.222306830582135,19.360004425048828,0.0307778360847259,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.27,16.68,14.77,15.23,0
2024-08-16,FOUR,,Software Infrastructure,8.741B,82.0,82.75,80.12999725341797,81.48999786376953,81.48999786376953,1996400,0.0,0.0,0.0,0.0,0.0,0.0,-0.0046415643100532,76.37285614013672,4.824054170953889,17.959999084472656,0.0315236453467915,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,15.29,15.76,14.65,14.8,0
2024-08-19,FOUR,,Software Infrastructure,8.741B,81.81999969482422,81.98999786376953,78.80999755859375,81.66999816894531,81.66999816894531,2340600,0.0,0.0,0.0,0.0,0.0,0.0,0.002208863785672,77.93999917166573,4.440642092445718,10.970001220703123,0.0288745009318839,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,15.94,16.07,14.46,14.65,0
